01:15:16,282 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 99 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/30>
01:15:16,283 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 102 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/31>
01:15:16,284 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 105 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/32>
01:15:16,285 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 108 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/33>
01:15:16,286 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 111 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/34>
01:15:16,287 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 114 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/35>
01:15:16,288 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 117 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/36>
01:15:16,289 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 120 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/37>
01:15:16,289 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 123 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/38>
01:15:16,290 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 126 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/39>
01:15:16,291 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 129 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/40>
01:15:16,292 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 132 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/41>
01:15:16,293 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 135 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/42>
01:15:16,294 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 138 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/43>
